population,road,year,nl_med,fl_area,x,constituency_fe,ny_group,ny_group2,treat
753.99164,.67688024,2012,4.0879631,,0,693,2011,2011,1
753.99164,.67688024,2013,3.6442308,0,0,693,2011,2011,1
799.15387,.72222221,2009,3.8999999,,0,694,2011,2011,1
799.15387,.72222221,2010,4.0986109,,0,694,2011,2011,1
799.15387,.72222221,2011,3.7819445,5.8600001,5.8600001,694,2011,2011,1
799.15387,.72222221,2012,4.1473546,,0,694,2011,2011,1
799.15387,.72222221,2013,4.5311356,.079999998,.079999998,694,2011,2011,1
683.78052,.78048778,2009,4.7694445,,0,695,2011,2011,1
683.78052,.78048778,2010,5.0746031,,0,695,2011,2011,1
683.78052,.78048778,2011,4.3833332,16.43,16.43,695,2011,2011,1
683.78052,.78048778,2012,4.7304716,,0,695,2011,2011,1
683.78052,.78048778,2013,5.4365077,.14,.14,695,2011,2011,1
1020.9835,.73754156,2009,4.1064816,,0,696,2011,2011,1
1020.9835,.73754156,2010,4.4004631,,0,696,2011,2011,1
1020.9835,.73754156,2011,4.4256616,2.26,2.26,696,2011,2011,1
1020.9835,.73754156,2012,4.8786616,,0,696,2011,2011,1
1020.9835,.73754156,2013,4.964591,0,0,696,2011,2011,1
596.61725,.69138277,2009,4.2597222,,0,697,2011,2011,1
596.61725,.69138277,2010,4.6550927,,0,697,2011,2011,1
596.61725,.69138277,2011,4.1550927,5.5700002,5.5700002,697,2011,2011,1
596.61725,.69138277,2012,4.7643518,,0,697,2011,2011,1
596.61725,.69138277,2013,4.4819622,.029999999,.029999999,697,2011,2011,1
941.99078,.67283952,2009,4.5388889,,0,698,2011,2011,1
941.99078,.67283952,2010,4.9796295,,0,698,2011,2011,1
941.99078,.67283952,2011,4.749537,23.610001,23.610001,698,2011,2011,1
941.99078,.67283952,2012,5.3553572,,0,698,2011,2011,1
941.99078,.67283952,2013,5.4138889,2.5,2.5,698,2011,2011,1
895.33331,.76825398,2009,4.7537036,,0,699,2011,2011,1
895.33331,.76825398,2010,5.3592591,,0,699,2011,2011,1
895.33331,.76825398,2011,4.6495371,15.68,15.68,699,2011,2011,1
895.33331,.76825398,2012,5.4546299,,0,699,2011,2011,1
895.33331,.76825398,2013,6.0305557,7.8099999,7.8099999,699,2011,2011,1
858.84399,.72144848,2009,3.6996031,,0,700,2011,2011,1
858.84399,.72144848,2010,4.3851852,,0,700,2011,2011,1
858.84399,.72144848,2011,4.3851852,43.450001,43.450001,700,2011,2011,1
858.84399,.72144848,2012,5.188889,,0,700,2011,2011,1
858.84399,.72144848,2013,5.067821,5.21,5.21,700,2011,2011,1
1759.6079,.65714288,2009,4.0317459,,0,701,2011,2011,1
1759.6079,.65714288,2010,4.6986113,,0,701,2011,2011,1
1759.6079,.65714288,2011,4.3351192,64.620003,64.620003,701,2011,2011,1
1759.6079,.65714288,2012,5.6488094,,0,701,2011,2011,1
1759.6079,.65714288,2013,5.3452382,13.87,13.87,701,2011,2011,1
877.72125,.67832166,2009,6.8202381,,0,702,2011,2011,1
877.72125,.67832166,2010,7.6587963,,0,702,2011,2011,1
877.72125,.67832166,2011,6.8950396,30.940001,30.940001,702,2011,2011,1
877.72125,.67832166,2012,8.9790344,,0,702,2011,2011,1
877.72125,.67832166,2013,8.2222223,3.8599999,3.8599999,702,2011,2011,1
778.13416,.38782051,2009,5.2416668,,0,703,2011,2011,1
778.13416,.38782051,2010,5.370635,,0,703,2011,2011,1
